school,OFF_ALL_raw,OFF_ALL_adj,DEF_ALL_raw,DEF_ALL_adj,OFF_PASS_raw,OFF_PASS_adj,DEF_PASS_raw,DEF_PASS_adj,OFF_RUSH_raw,OFF_RUSH_adj,DEF_RUSH_raw,DEF_RUSH_adj
Miami,0.4595473016694495,0.33350826828146884,0.039988713472676386,0.11318493675719254,0.5686256855556978,0.3935453014940019,0.004759081779474541,0.1520073901259027,0.30918143845768226,0.2185830474067439,0.11015664145724806,0.13808762974304933
Miami (OH),0.08729149271873297,0.1377385164854568,0.11636372016907813,0.156726946125331,0.12043404471543603,0.19800367923612144,0.11850038747865788,0.18879503642306247,0.054109573013324974,0.1147273611657888,0.1771732870998592,0.17866807844109162
Michigan,0.154574561594994,0.18227860136821375,0.11833061050717872,0.14097516067786017,0.06172876447897511,0.19138697731016913,0.1890782756628539,0.20949387030504085,0.23569119414585768,0.19610696121278612,0.00452506941364189,0.09988891622554333
Michigan State,0.029148292496262447,0.11624999109091759,0.17600779771222325,0.1452925142398907,0.18197966373864471,0.22766690437375234,0.33595602048876927,0.25681080281888924,-0.018795593707627414,0.09238508484332128,0.08099458021852689,0.10774603155513293
Middle Tennessee,0.08839475348528275,0.1545674336367168,0.46249266489634794,0.34380335607502177,0.13735334914234085,0.20817525388226205,0.7239198547363913,0.4411057062006905,0.02423083580107882,0.12473899853564721,0.23280359611607418,0.200448303074631
Minnesota,0.1815165656333332,0.18231109281692867,0.07100438875573581,0.11490063491600488,0.1492002950451499,0.200473592194728,0.060738793497377125,0.17681221188052726,0.23743550410272485,0.19367844292398279,0.1196444586551799,0.12664135302723237
Mississippi State,0.17715842029149478,0.204508799726307,0.35953337010643344,0.2610330358837576,0.2661356066906545,0.26383563329141413,0.5806254447356586,0.3513939555210836,0.14922364148731862,0.17429958927309086,0.25259447006773467,0.2072857537803655
Missouri,0.24064075834107493,0.2103982603443412,0.19254044414678143,0.19921290404507722,0.2341363525076475,0.2366623522411849,0.30485700028788376,0.26530752735535196,0.25478559199132533,0.20946478509653468,0.12293745116873986,0.1580664830191007
Navy,0.5027775444201413,0.3239246993639924,0.1511739827073108,0.19440428798441212,0.7648272634463043,0.3336412238485287,0.039105572340413126,0.19162761294883698,0.4403361971517805,0.28758521893513794,0.2816712342903962,0.2117553166191074
NC State,0.1452421695887684,0.14773080669089728,0.15046522419569144,0.16284740255357522,0.2532998521931708,0.23049195423284102,0.18111108329266845,0.2160877525010096,0.09247181950749052,0.12605168870404743,0.20540882204849942,0.1825247408693313
Nebraska,0.21537583788933393,0.17578953441613113,0.03558640948811074,0.11802574775923355,0.28829943748810133,0.25191576614274014,0.057832195103284745,0.17987804118437895,0.18786667588842698,0.1388014809025604,0.03971332941148588,0.12254859664534232
Nevada,0.20787141692000097,0.1962877936749717,0.2363351220438649,0.21692964594832215,0.22948998219992495,0.23396504922870093,0.2396399788717753,0.24086023127619308,0.228075855396207,0.18771186217239694,0.24816877336556037,0.20577376740729644
New Mexico,0.3390130449877872,0.2792547824526388,0.3920057736568032,0.3257875524629132,0.3571942258049055,0.30520224014191527,0.539649196808968,0.3644953032427257,0.3340549363446355,0.23986512708447089,0.34691807480688985,0.26464092584712007
New Mexico State,0.06459979785242385,0.10638682140521645,0.3039795852485995,0.24025127571543609,0.02536119679670502,0.15968204064354635,0.2940435638192182,0.25096622959691706,0.19247653129629994,0.16014544213075857,0.33677260009154536,0.24070039917256777
North Carolina,0.18010444362455902,0.20577536602620117,0.2573026706668389,0.22264624642891995,0.1772112180843386,0.2239331024766172,0.30943605810470354,0.26890648850153787,0.23454306780329012,0.21523404108003444,0.24143576629393407,0.19999264075374168
Northern Illinois,0.1319387939100381,0.1656297222918685,0.06734257449314913,0.13053551876625538,0.10189276772698577,0.2112112934728293,0.02086299711127936,0.16850325514576917,0.2073158696132162,0.18254761038604495,0.14084293806916626,0.15166733121763562
North Texas,0.3278065511775439,0.25193763802828084,0.29536638527723735,0.25626961625528843,0.42402690312614155,0.31579096239381693,0.37084081755445814,0.31100421080613916,0.19299136815149423,0.17066950633686973,0.21395576169731384,0.18409600092832357
Northwestern,-0.03793729488431719,0.08780638107045015,0.1049337508343785,0.11630381656490826,-0.08210471196263266,0.13625211827874922,0.26975995722649987,0.2301618377827074,0.08415569950741578,0.13864436624864027,-0.036317928435688304,0.07556974888988016
Notre Dame,0.2995321160267835,0.24402526919588385,-0.044800443845012486,0.05406220907273024,0.24426064423615013,0.2400873336612838,-0.1403272582644523,0.07894373964238388,0.3882871640553415,0.27688890398379323,0.06534308280093859,0.11530430143762481
Ohio,0.16234675439354274,0.15193159820928762,0.21361488531432038,0.19628731926790535,0.09449309212323298,0.17246456211379868,0.33922240090159667,0.2888622654070815,0.28026226859392916,0.22061151750711488,0.12637134733629934,0.1293196270634963
Ohio State,0.47850263678115135,0.3521088943262026,-0.02265306691658222,0.08208763354044979,0.5428203913836362,0.3713891178368477,0.06523276077354019,0.17994750337141555,0.4173456315341243,0.2823075800417798,-0.01981501586620138,0.07965838237573375
Oklahoma,0.03960616898273618,0.12373606405029869,0.057214252362792824,0.10882312536221561,0.0743441636243097,0.18066899745699536,0.22167708444274803,0.2246667044415344,0.05826062496858924,0.12056100966535095,-0.037609537060756204,0.06104327112070004
Oklahoma State,0.18738562564814998,0.1831991085029474,0.20829697368771888,0.20466147902861004,0.31715675633781293,0.26305894082389536,0.2262456151986843,0.24951158650217342,0.0014198311571064733,0.10645388708790537,0.23782687186660015,0.2016354227919353
Old Dominion,0.12247352088435023,0.15875576401336122,0.13029420186847918,0.15917633327872716,0.14244173314253689,0.2109554584437733,0.21524539203237694,0.23905094233291566,0.1602428697716285,0.16271422343774183,0.08837733584217446,0.11473344568483056
