id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index,highlights,notes
401112223,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,111747.0,3558,Michigan Stadium,130,Michigan,Big Ten,24,"[7, 0, 7, 0, 7, 3]",0.9601404334753726,349,Army,FBS Independents,21,"[7, 7, 0, 0, 7, 0]",0.03985956652462741,7.65488039,https://www.youtube.com/watch?v=U0wE3nTYkbU,
401112252,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,104089.0,3861,Ohio Stadium,194,Ohio State,Big Ten,42,"[7, 21, 7, 7]",0.9999880145037198,2132,Cincinnati,American Athletic,0,"[0, 0, 0, 0]",1.1985496280231267e-05,0.9479482456,https://www.youtube.com/watch?v=DSfC6hWwits,
401112192,2019,2,regular,2019-09-07T16:00:00.000Z,,False,True,61808.0,3793,Kinnick Stadium,2294,Iowa,Big Ten,30,"[7, 13, 7, 3]",0.9999793082998703,164,Rutgers,Big Ten,0,"[0, 0, 0, 0]",2.069170012974908e-05,0.989538232599999,https://www.youtube.com/watch?v=n2pc1GK4jCE,
401112107,2019,2,regular,2019-09-07T16:00:00.000Z,,False,False,46075.0,3636,Bill Snyder Family Football Stadium,2306,Kansas State,Big 12,52,"[17, 21, 7, 7]",0.9999954937888929,189,Bowling Green,Mid-American,0,"[0, 0, 0, 0]",4.506211107146996e-06,0.2217148635,https://www.youtube.com/watch?v=NhiLQ6tmBLs,
401114224,2019,2,regular,2019-09-07T17:00:00.000Z,,False,False,45919.0,587,Rice-Eccles Stadium,254,Utah,Pac-12,35,"[0, 21, 7, 7]",0.9983911140935828,2459,Northern Illinois,Mid-American,17,"[7, 10, 0, 0]",0.0016088859064171679,1.5811485679,https://www.youtube.com/watch?v=jRj9kQS3pro,
401112441,2019,2,regular,2019-09-07T18:00:00.000Z,,False,False,46599.0,721,Bobby Dodd Stadium at Historic Grant Field,59,Georgia Tech,ACC,14,"[0, 14, 0, 0]",0.38553997084444,58,South Florida,American Athletic,10,"[3, 0, 0, 7]",0.61446002915556,5.399834857,https://www.youtube.com/watch?v=FPFVdHZQ8cs,
401110784,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,81500.0,3836,Memorial Stadium,228,Clemson,ACC,24,"[0, 17, 7, 0]",0.9942023277063426,245,Texas A&M,SEC,10,"[0, 3, 0, 7]",0.005797672293657352,2.05319331759999,https://www.youtube.com/watch?v=yfa5ENjiunY,
401114247,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,29182.0,3792,Kidd Brewer Stadium,2026,Appalachian State,Sun Belt,56,"[14, 14, 14, 14]",0.6361521273222749,2429,Charlotte,Conference USA,41,"[6, 7, 15, 13]",0.3638478726777251,1.5115056503,,
401112239,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,52829.0,3726,Folsom Field,38,Colorado,Pac-12,34,"[0, 0, 7, 24, 3]",0.78305545476007,158,Nebraska,Big Ten,31,"[7, 10, 0, 14, 0]",0.21694454523993,7.43776658589999,https://www.youtube.com/watch?v=SaKlr1NMnu4,
401112268,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,74437.0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,61,"[16, 28, 10, 7]",0.9999979081718521,2117,Central Michigan,Mid-American,0,"[0, 0, 0, 0]",2.091828147920971e-06,0.1187746388,https://www.youtube.com/watch?v=Z_AxOY2-BpU,
401112146,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,23108.0,3892,Rentschler Field,41,Connecticut,American Athletic,23,"[10, 3, 7, 3]",0.06095262416680899,356,Illinois,Big Ten,31,"[0, 24, 7, 0]",0.939047375833191,3.3857458946,https://www.youtube.com/watch?v=wf0sLgZACC4,
401110780,2019,2,regular,2019-09-07T19:30:00.000Z,,False,False,55143.0,3693,Davis Wade Stadium,344,Mississippi State,SEC,38,"[7, 14, 7, 10]",0.9982211218220371,2572,Southern Mississippi,Conference USA,15,"[0, 0, 7, 8]",0.0017788781779628504,0.662047642,https://www.youtube.com/watch?v=6Hi_PLKaNqQ,
